,000032.SH,000033.SH,000034.SH,000035.SH,000036.SH,000037.SH,000038.SH,000039.SH,000040.SH,000041.SH,H00032.SH,H00033.SH,H00034.SH,H00035.SH,H00036.SH,H00037.SH,H00038.SH,H00039.SH,H00040.SH,H00041.SH
2009/7/2,3021.583,2274.98,2284.893,1934.328,3483.164,2329.994,4070.795,1873.81,2170.772,2030.863,0,0,0,0,0,0,0,0,0,0
2009/7/3,3127.421,2302.44,2312.05,1945.58,3505.885,2351.644,4133.953,1884.241,2197.966,2041.799,0,0,0,0,0,0,0,0,0,0
2009/7/6,3206.3,2293.009,2326.244,1959.229,3536.691,2351.973,4199.206,1887.645,2156.267,2076.984,0,0,0,0,0,0,0,0,0,0
2009/7/7,3234.495,2367.306,2348.108,1964.244,3520.162,2342.214,4255.009,1897.329,2244.888,2101.306,0,0,0,0,0,0,0,0,0,0
2009/7/8,3177.756,2360.133,2344.845,1979.041,3549.172,2377.372,4164.81,1902.438,2265.326,2122.466,0,0,0,0,0,0,0,0,0,0
2009/7/9,3248.536,2374.239,2349.294,1999.353,3568.856,2395.407,4139.068,1908.259,2254.508,2109.77,0,0,0,0,0,0,0,0,0,0
2009/7/10,3288.28,2409.564,2387.225,2059.324,3674.862,2452.962,4181.031,1957.099,2284.517,2136.075,0,0,0,0,0,0,0,0,0,0
2009/7/13,3265.519,2429.534,2391.397,2066.215,3725.501,2443.761,4158.392,1959.298,2282.621,2139.271,0,0,0,0,0,0,0,0,0,0
2009/7/14,3184.595,2388.739,2413.44,2081.199,3752.269,2481.826,4054.638,1993.214,2230.518,2148.745,0,0,0,0,0,0,0,0,0,0
2009/7/15,3260.828,2446.957,2457.831,2115.16,3812.776,2500.754,4209.726,2013.068,2318.466,2209.941,0,0,0,0,0,0,0,0,0,0
2009/7/16,3350.154,2522.25,2510.966,2131.958,3806.655,2496.223,4227.754,2028.462,2338.779,2238.671,0,0,0,0,0,0,0,0,0,0
2009/7/17,3330.604,2514.455,2477.626,2115.71,3763.406,2458.326,4306.297,2018.591,2286.419,2202.017,0,0,0,0,0,0,0,0,0,0
2009/7/20,3413.871,2582.239,2494.586,2117.122,3763.872,2458.461,4286.358,2058.406,2284.368,2208.154,0,0,0,0,0,0,0,0,0,0
2009/7/21,3581.331,2689.506,2561.123,2151.614,3807.317,2488.05,4322.106,2113.062,2340.069,2264.975,0,0,0,0,0,0,0,0,0,0
2009/7/22,3507.349,2628.531,2511.865,2096.651,3760.087,2443.221,4300.385,2043.247,2268.667,2204.939,0,0,0,0,0,0,0,0,0,0
2009/7/23,3718.37,2684.056,2552.643,2123.211,3804.105,2457.322,4373.338,2063.96,2295.413,2231.877,0,0,0,0,0,0,0,0,0,0
2009/7/24,3752.202,2690.189,2555.59,2139.915,3833.792,2472.698,4451.901,2092.745,2365.881,2275.693,0,0,0,0,0,0,0,0,0,0
2009/7/27,3883.178,2726.125,2558.565,2113.186,3773.567,2457.705,4459.291,2064.233,2429.062,2264.809,0,0,0,0,0,0,0,0,0,0
2009/7/28,3904.276,2864.145,2623.435,2147.048,3842.008,2487.021,4545.187,2105.904,2462.684,2294.242,0,0,0,0,0,0,0,0,0,0
2009/7/29,3835.43,2909.004,2664.671,2162.447,3898.157,2492.43,4523.574,2172.307,2476.052,2321.865,0,0,0,0,0,0,0,0,0,0
2009/7/30,3623.831,2712.324,2493.721,2053.214,3681.833,2367.114,4330.49,2028.986,2363.944,2227.361,0,0,0,0,0,0,0,0,0,0
2009/7/31,3662.928,2762.848,2522.032,2067.973,3693.501,2372.222,4480.772,2115.154,2548.915,2252.005,0,0,0,0,0,0,0,0,0,0
2009/8/3,3768.245,2889.338,2606.396,2121.986,3768.406,2432.806,4555.677,2170.216,2562.28,2361.959,0,0,0,0,0,0,0,0,0,0
2009/8/4,3822.991,3021.951,2671.346,2147.705,3885.967,2457.057,4550.961,2198.26,2561.374,2430.485,0,0,0,0,0,0,0,0,0,0
2009/8/5,3954.724,3059.867,2700.117,2161.233,3982.378,2510.284,4452.862,2204.314,2511.32,2436.978,0,0,0,0,0,0,0,0,0,0
2009/8/6,3815.043,3040.307,2721.617,2178.568,4020.628,2555.803,4338.655,2196.925,2486.097,2423.189,0,0,0,0,0,0,0,0,0,0
2009/8/7,3669.279,2919.748,2662.313,2150.459,3971.913,2554.804,4270.046,2155.132,2438.675,2386.771,0,0,0,0,0,0,0,0,0,0
2009/8/10,3523.221,2789.34,2569.6,2092.323,3873.929,2534.761,4204.956,2094.062,2411.148,2314.158,0,0,0,0,0,0,0,0,0,0
2009/8/11,3506.705,2824.027,2579.334,2115.231,3911.399,2601.384,4142.294,2111.62,2398.117,2315.892,0,0,0,0,0,0,0,0,0,0
2009/8/12,3539.941,2781.719,2579.147,2128.725,3976.779,2587.207,4154.815,2127.644,2388.266,2333.88,0,0,0,0,0,0,0,0,0,0
2009/8/13,3345.704,2616.204,2440.571,2031.738,3809.686,2500.572,3994.289,1995.458,2291.918,2216.58,0,0,0,0,0,0,0,0,0,0
2009/8/14,3408.867,2673.384,2443.015,2033.575,3785.178,2474.068,4070.666,1992.255,2302.129,2194.313,0,0,0,0,0,0,0,0,0,0
2009/8/17,3340.617,2583.002,2357.763,1943.856,3586.962,2380.751,3985.439,1888.21,2205.558,2102.618,0,0,0,0,0,0,0,0,0,0
2009/8/18,3073.62,2366.628,2219.685,1822.856,3368.13,2261.634,3792.452,1774.985,2055.535,1969.572,0,0,0,0,0,0,0,0,0,0
2009/8/19,3132.261,2449.043,2252.128,1854.559,3421.597,2302.684,3776.827,1807.994,2085.822,2035.074,0,0,0,0,0,0,0,0,0,0
